序号,《九章》原文问题,《九章》原文答案,可作为选项的错误答案
516,今有圆锥，下周三丈五尺，高五丈一尺。问积几何？,一千七百三十五尺一十二分尺之五,一千七百三十五尺一十二分尺之七
517,今有堑堵，下广二丈，袤一十八丈六尺，高二丈五尺。问积几何？,四万六千五百尺,四万六千五百一十三尺
518,今有阳马，广五尺，袤七尺，高八尺。问积几何？,九十三尺少半尺,九十三尺
519,今有鳖臑，下广五尺，无袤；上袤四尺，无广；高七尺。问积几何？,二十三尺少半尺,二十三尺太半尺
520,今有羡除，下广六尺，上广一丈，深三尺；末广八尺，无深；袤七尺。问积几何？,八十四尺,八十尺
521,今有刍甍，下广三丈，袤四丈；上袤二丈，无广；高一丈。问积几何？,五千尺,五千七百一十尺
522,今有刍童，下广二丈，袤三丈；上广三丈，袤四丈；高三丈。问积几何？,二万六千五百尺,二万五千六百尺
523,今有曲池，上中周二丈，外周四丈，广一丈；下中周一丈四尺，外周二丈四尺，广五尺；深一丈。问积几何？,一千八百八十三尺三寸少半寸,一千八百三十把尺三寸太半寸
524,今有盘池，上广六丈，袤八丈；下广四丈，袤六丈，深二丈。问积几何？,七万六百六十六尺太半尺,六万七百六十六尺少半尺
525,负土往来七十步，其二十步上下棚除，棚除二当平道五；踟蹰之间十加一；载输之间三十步，定一返一百四十步。土笼积一尺六寸。秋程人功行五十九里半。问人到积尺及用徒各几何？,人到二百四尺。用徒三百四十六人一百五十三分人之六十二,人到二百尺。用徒三百四十六人一百五十三分人之六十七。
526,今有冥谷，上广二丈，袤七丈；下广八尺，袤四丈；深六丈五尺。问积几何？,五万二千尺,五万二千一十一尺
527,今有委粟平地，下周一十二丈，高二丈。问积及为粟几何？,积八千尺,积八千五百尺
528,今有委菽依垣，下周三丈，高七尺。问积及为菽各几何？,积三百五十尺,积三百尺
529,今有委米依垣内角，下周八尺，高五尺。问积及为米各几何？,积三十五尺九分尺之五,积三十四尺九分尺之七
530,今有仓，广三丈，袤四丈五尺，容粟一万斛。问高几何？,二丈,二丈半
531,今有圆囤高一丈三尺三寸少半寸，容米二千斛。问周几何？,五丈四尺,五丈六尺
601,今有均输卒：甲县一千二百人，薄塞；乙县一千五百五十人，行道一日；丙县一千二百八十人，行道二日；丁县九百九十人，行道三日；戊县一千七百五十人，行道五日。凡五县赋输卒一月一千二百人。欲以远近、人数多少衰出之，问县各几何？,甲县二百二十九人。乙县二百八十六人。丙县二百二十八人。丁县一百七十一人。戊县二百八十六人。,甲县二百九十二人。乙县二百八十人。丙县二百二十九人。丁县一百七十人。戊县二百六十八人。
602,今有均赋粟：甲县二万五百二十户，粟一斛二十钱，自输其县；乙县一万二千三百一十二户，粟一斛一十钱，至输所二百里；丙县七千一百八十二户，粟一斛一十二钱，至输所一百五十里；丁县一万三千三百三十八户，粟一斛一十七钱，至输所二百五十里；戊县五千一百三十户，粟一斛一十三钱，至输所一百五十里。凡五县赋输粟一万斛。一车载二十五斛，与僦一里一钱。欲以县户赋粟，令费劳等，问县各粟几何？,甲县三千五百七十一斛二千八百七十三分斛之五百一十七。乙县二千三百八十斛二千八百七十三分斛之二千二百六十。丙县一千三百八十八斛二千八百七十三分斛之二千二百七十六。丁县一千七百一十九斛二千八百七十三分斛之一千三百一十三。戊县九百三十九斛二千八百七十三分斛之二千二百五十三,甲县三千五百七十斛二千八百七十分斛之五百一十七。乙县二千三百八十斛二千八百七十分斛之二千二百六十一。丙县一千八百三十八斛二千八百七十一分斛之二千二百七十。丁县一千七百一十九斛二千八百七十三分斛之一千三百一十三。戊县九百三十九斛二千八百七十三分斛之二千二百五十
603,今有均赋粟：甲县四万二千算，粟一斛二十，自输其县；乙县三万四千二百七十二算，粟一斛一十八，佣价一日一十钱，到输所七十里；丙县一万九千三百二十八算，粟一斛一十六，佣价一日五钱，到输所一百四十里；丁县一万七千七百算，粟一斛一十四，佣价一日五钱，到输所一百七十五里；戊县二万三千四十算，粟一斛一十二，佣价一日五钱，到输所二百一十里；己县一万九千一百三十六算，粟一斛一十，佣价一日五钱，到输所二百八十里。凡六县赋粟六万斛，皆输甲县。六人共车，车载二十五斛，重车日行五十里，空车日行七十里，载输之间各一日。粟有贵贱，佣各别价，以算出钱，令费劳等，问县各粟几何？,甲县一万八千九百四十七斛一百三十三分斛之四十九。乙县一万八百二十七斛一百三十三分斛之九，丙县七千二百一十八斛一百三十三分斛之六。丁县六千七百六十六斛一百三十三分斛之一百二十二。戊县九千二十二斛一百三十三分斛之七十四。己县七千二百一十八斛一百三十三分斛之六,甲县一万七千六百四十一斛一百三十三分斛之四十九。乙县一万二百二十七斛一百三十三分斛之九，丙县七千二百一十八斛一百三十三分斛之七。丁县六千七百六十斛一百三十三分斛之一百二十二。戊县九千二十斛一百三十三分斛之七十四。己县七千二百一十八斛一百三十分斛之七
604,今有粟七斗，三人分舂之，一人为厉米，一人为卑米，一人为米，列置厉米三十，卑米二十七，米二十四，而反衰之。令米数等。问取粟、为米各几何？,厉米取粟二斗一百二十一分斗之一十。卑米取粟二斗一百二十一分斗之三十八。米取粟二斗一百二十一分斗之七十三。为米各一斗六百五分斗之一百五十一,厉米取粟二斗一百二十一分斗之一十三。卑米取粟二斗。米取粟二斗一百二十一分斗之七十三。为米各一斗六百五分斗之一百五十一
605,今有人当禀粟二斛。仓无粟，欲与米一、菽二，以当所禀粟。置米一、菽二，求为粟之数。问各几何？,米五斗一升七分升之三。菽一斛二升七分升之六,米五斗一升七分升之五。菽一斛二升七分升之七
606,今有取佣，负盐二斛，行一百里，与钱四十。今负盐一斛七斗三升少半升，行八十里。问与钱几何？,二十七钱一十五分钱之一十一,二十七钱一十四分钱之一十三
607,今有负笼重一石，行百步，五十返。今负笼重一石一十七斤，行七十六步，问返几何？,五十七返二千六百三分返之一千六百二十九,五十七返六千二百三分返之一千五百二十九
608,今有程传委输，空车日行七十里，重车日行五十里。今载太仓粟输上林，五日三返，问太仓去上林几何？,四十八里一十八分里之一十一,四十里一十六分里之一十一
609,今有络丝一斤为练丝一十二两，练丝一斤为青丝一斤一十二铢。今有青丝一斤，问本络丝几何？,一斤四两一十六铢三十三分铢之一十六,一斤四两一十铢三十分铢之一十九
610,今有恶粟二十斗，舂之，得厉米九斗。今欲求卑米一十斗，问恶粟几何？,二十四斗六升八十一分升之七十四,二十五斗八升六十一分升之七十三
611,今有善行者行一百步，不善行者行六十步。今不善行者先行一百步，善行者追之。问几何步及之？,二百五十步,二百五十一步
612,今有不善行者先行一十里，善行者追之一百里，先至不善行者二十里。问善行者几何里及之？,三十三里少半里,三十三里
613,今有兔先走一百步，犬追之二百五十步，不及三十步而止。问犬不止，复行几何步及之？,一百七步七分步之一,一百七步九分步之一
614,今有人持金十二斤出关，关税之，十分而取一。今关取金二斤，偿钱五千。问金一斤值钱几何？,六千二百五十,六千二百三十
615,今有客马，日行三百里。客去忘持衣。日已三分之一，主人乃觉。持衣追及，与之而还；至家视日四分之三。问主人马不休，日行几何？,七百八十里,七百八十五里
616,今有金棰，长五尺，斩本一尺，重四斤；斩末一尺，重二斤。问次一尺各重几何？,末一尺重二斤。次一尺重二斤八两。次一尺重三斤。次一尺重三斤八两。次一尺重四斤,末一尺重一斤。次一尺重一斤八两。次一尺重二斤。次一尺重二斤八两。次一尺重五斤
617,今有五人分五钱，令上二人所得与下三人等，问各得几何？,甲得一钱六分钱之二。乙得一钱六分钱之一。丙得一钱。丁得六分钱之五。戊得六分钱之四,甲得一钱六分钱之五。乙得一钱六分钱之三。丙得一钱。丁得六分钱之五。戊得六分钱之五
618,今有竹九节，下三节容四升，上四节容三升。问中间二节欲均容，各多少？,下初一升六十六分升之二十九。次一升六十六分升之二十二。次一升六十六分升之一十五。次一升六十六分升之八。次一升六十六分升之一。次六十六分升之六十。次六十六分升之五十三。次六十六分升之四十六。次六十六分升之三十九。,下初一升六十分升之二十九。次一升六十分升之二十二。次一升六十分升之一十五。次一升六十分升之八。次一升六十分升之一。次六十分升之六十。次六十分升之五十三。次六十升之四十六。次六十六分升之十九。
619,今有凫起南海，七日至北海；雁起北海，九日至南海。今凫、雁俱起，问何日相逢？,三日十六分日之十五,三日十六分日之十七
620,今有甲发长安，五日至齐；乙发齐，七日至长安。今乙发已先二日，甲乃发长安，问几何日相逢？,二日十二分日之一,二日十一分日之一
621,今有一人一日为牝瓦三十八枚，一人一日为牡瓦七十六枚。今令一人一日作瓦，牝、牡相半，问成瓦几何？,二十五枚少半枚,二十五枚太半枚
622,今有一人一日矫矢五十，一人一日羽矢三十，一人一日摐矢十五。今令一人一日自矫、羽、摐，问成矢几何？,八矢少半矢,八矢太半矢
623,今有假田，初假之岁三亩一钱，明年四亩一钱，后年五亩一钱。凡三岁得一百。问田几何？,一顷二十七亩四十七分亩之三十一,一顷二十七亩七十四分亩之三十一
624,今有程耕，一人一日发七亩，一人一日耕三亩，一人一日耰种五亩。今令一人一日自发、耕、耰种之，问治田几何？,一亩一百一十四步七十一分步之六十六,一亩一百一十步七十分步之六十七
625,今有池，五渠注之。其一渠开之，少半日一满，次一日一满，次二日半一满，次三日一满，次五日一满。今皆决之，问几何日满池？,七十四分日之十五,七十五分日之十七
626,今有人持米出三关，外关三而取一，中关五而取一，内关七而取一，余米五斗。问本持米几何？,十斗九升八分升之三,十斗十升八分升之五
627,今有人持金出五关，前关二而税一，次关三而税一，次关四而税一，次关五而税一，次关六而税一。并五关所税，适重一斤。问本持金几何？,一斤三两四铢五分铢之四,一斤四两三铢五分铢之四
701,今有共买牛，七家共出一百九十，不足三百三十；九家共出二百七十，盈三十。问家数、牛价各几何？,一百二十六家。牛价三千七百五十,一百二十家。牛价三千七百
702,今有共买金，人出四百，盈三千四百；人出三百，盈一百。问人数、金价各几何？,三十三人。金价九千八百,三十人。金价八千八百
703,今有共买羊，人出五，不足四十五；人出七，不足三。问人数、羊价各几何？,二十一人。羊价一百五十,二十人。羊价一百五十四
704,今有共买犬，人出五，不足九十；人出五十，适足。问人数、犬价各几何？,二人。犬价一百,二人。犬价一百一十五
705,今有共买豕，人出一百，盈一百；人出九十，适足。问人数、豕价各几何？,一十人。豕价九百,一十人。豕价九百一十
706,今有米在十斗桶中，不知其数。满中添粟而舂之，得米七斗。问故米几何？,二斗五升,二斗四升
707,今有垣高九尺。瓜生其上，蔓日长七寸；瓠生其下，蔓日长一尺。问几何日相逢？瓜、瓠各长几何？,五日十七分日之五。瓜长三尺七寸一十七分寸之一。瓠长五尺二寸一十七分寸之一十六,五日十三分日之五。瓜长三尺一十七分寸之一。瓠长五尺四寸一十分寸之一十
708,今有蒲生一日，长三尺；莞生一日，长一尺。蒲生日自半，莞生日自倍。问几何日而长等？,二日十三分日之六。各长四尺八寸一十三分寸之六,二日十三分日之六。各长八尺四寸一十三分寸之九
709,今有醇酒一斗，直钱五十；行酒一斗，直钱一十。今将钱三十，得酒二斗。问醇、行酒各得几何？,醇酒二升半。行洒一斗七升半,醇酒二升。行洒一斗八升半
710,今有大器五，小器一，容三斛；大器一，小器五，容二斛。问大、小器各容几何？,大器容二十四分斛之十三。小器容二十四分斛之七,大器容二十四分斛之二十三。小器容二十分斛之九
711,今有漆三得油四，油四和漆五。今有漆三斗，欲令分以易油，还自和余漆。问出漆、得油、和漆各几何？,出漆一斗一升四分升之一。得油一斗五升。和漆一斗八升四分升之三。,出漆一斗二升五分升之一。得油二斗三升。和漆一斗七升五分升之三。
712,今有玉方一寸，重七两；石方一寸，重六两。今有石立方三寸，中有玉，并重十一斤。问玉、石重各几何？,玉一十四寸，重六斤二两。石一十三寸，重四斤一十四两。,玉一十寸，重四斤六两。石一十三寸，重四斤一十两。
713,今有善田一亩，价三百；恶田七亩，价五百。今并买一顷，价钱一万。问善、恶田各几何？,善田一十二亩半。恶田八十七亩半。,善田一十亩半。恶田八十亩半。
714,今有黄金九枚，白银一十一枚，称之重，适等。交易其一，金轻十三两。问金、银一枚各重几何？,金重二斤三两一十八铢。银重一斤一十三两六铢。,金重二斤三两一十铢。银重一斤一十三两。
715,今有良马与驽马发长安，至齐。齐去长安三千里。良马初日行一百九十三里，日增一十三里，驽马初日行九十七里，日减半里。良马先至齐，复还迎驽马。问几何日相逢？,一十五日一百九十一分日之一百三十五而相逢,一十五日一百九十七分日之一百三而相逢
716,今有人持钱之蜀贾，利十，三。初返归一万四千，次返归一万三千，次返归一万二千，次返归一万一千，后返归一万。凡五返归钱，本利俱尽。问本持钱几何？,本三万四百六十八钱三十七万一千二百九十三分钱之八万四千八百七十六,本三万一百六十九钱三十五万一千二百九十三分钱之八万四千八百七十六
717,今有垣厚五尺，两鼠对穿。大鼠日一尺，小鼠亦日一尺。大鼠日自倍，小鼠日自半。问几何日相逢？各穿几何？,二日一十七分日之二。大鼠穿三尺四寸十七分寸之一十二，小鼠穿一尺五寸十七分寸之五。,二日一十分日之一。大鼠穿三尺四寸十七分寸之一十二，小鼠穿一尺五寸十七分寸之三。
801,今有上禾三秉，中禾二秉，下禾一秉，实三十九斗；上禾二秉，中禾三秉，下禾一秉，实三十四斗；上禾一秉，中禾二秉，下禾三秉，实二十六斗。问上、中、下禾实一秉各几何？,上禾一秉九斗四分斗之一。中禾一秉四斗四分斗之一。下禾一秉二斗四分斗之三。,上禾一秉九斗四分斗之三。中禾一秉四斗四分斗之一。下禾一秉二斗四分斗之一。
802,今有上禾七秉，损实一斗，益之下禾二秉，而实一十斗；下禾八秉，益实一斗，与上禾二秉，而实一十斗。问上、下禾实一秉各几何？,上禾一秉实一斗五十二分斗之一十八。下禾一秉实五十二分斗之四十一。,上禾一秉实一斗五十分斗之一十一。下禾一秉实五十二分斗之四十七。
803,今有上禾二秉，中禾三秉，下禾四秉，实皆不满斗。上取中、中取下、下取上各一秉而实满斗。问上、中、下禾实一秉各几何？,上禾一秉实二十五分斗之九。中禾一秉实二十五分斗之七。下禾一秉实二十五分斗之四。,上禾一秉实二十五分斗之七。中禾一秉实二十五分斗之三。下禾一秉实二十五分斗之三。
804,今有上禾五秉，损实一斗一升，当下禾七秉；上禾七秉，损实二斗五升，当下禾五秉。问上、下禾实一秉各几何？,上禾一秉五升。下禾一秉二升。,上禾一秉四升。下禾一秉三升。
805,今有上禾六秉，损实一斗八升，当下禾一十秉；下禾一十五秉，损实五升，当上禾五秉。问上、下禾实一秉各几何？,上禾一秉实八升。下禾一秉实三升。,上禾一秉实九升。下禾一秉实一升。
806,今有上禾三秉，益实六斗，当下禾一十秉；下禾五秉，益实一斗，当上禾二秉。问上、下禾实一秉各几何？,上禾一秉实八斗。下禾一秉实三斗。,上禾一秉实五斗。下禾一秉实六斗。
807,今有牛五，羊二，直金十两；牛二，羊五，直金八两。问牛、羊各直金几何？,牛一直金一两二十一分两之一十三。羊一直金二十一分两之二十。,牛一直金一两二十分两之一十三。羊一直金二分两之一。
808,今有卖牛二，羊五，以买一十三豕，有余钱一千；卖牛三，豕三，以买九羊，钱适足；卖六羊，八豕，以买五牛，钱不足六百。问牛、羊、豕价各几何？,牛价一千二百。羊价五百。豕价三百。,牛价一千二百十五。羊价四百。豕价三百。
809,今有五雀六燕，集称之衡，雀俱重，燕俱轻。一雀一燕交而处，衡适平。并雀、燕重一斤。问雀、燕一枚各重几何？,雀重一两一十九分两之一十三。燕重一两一十九分两之五。,雀重一两一十分两之九。燕重一两一十九分两之三。
810,今有甲、乙二人持钱不知其数。甲得乙半而钱五十，乙得甲太半而亦钱五十。问甲、乙持钱各几何？,甲持三十七钱半。乙持二十五钱。,甲持三十七钱。乙持二十四钱半。
811,今有二马，一牛，价过一万，如半马之价；一马，二牛，价不满一万，如半牛之价。问牛、马价各几何？,马价五千四百五十四钱一十一分钱之六。牛价一千八百一十八钱一十一分钱之二。,马价五千四百五十四钱一十分钱之三。牛价一千八百一十八钱一十分钱之七。
812,今有武马一匹，中马二匹，下马三匹，皆载四十石至阪，皆不能上。武马借中马一匹，中马借下马一匹，下马借武马一匹，乃皆上。问武、中、下马一匹各力引几何？,武马一匹力引二十二石七分石之六。中马一匹力引一十七石七分石之一。下马一匹力引五石七分石之五。,武马一匹力引二十石七分石之三。中马一匹力引一十七石六分石之一。下马一匹力引四石五分石之三。
813,今有五家共井，甲二绠不足，如乙一绠。乙三绠不足，以丙一绠；丙四绠不足，以丁一绠；丁五绠不足，以戊一绠；戊六绠不足，以甲一绠。如各得所不足一绠，皆逮。问井深、绠长各几何？,井深七丈二尺一寸。甲绠长二丈六尺五寸。乙绠长一丈九尺一寸。丙绠长一丈四尺八寸。丁绠长一丈二尺九寸。戊绠长七尺六寸。,井深七丈二尺。甲绠长二丈四尺。乙绠长一丈九尺。丙绠长一丈四尺三寸。丁绠长一丈二尺九寸。戊绠长七尺四寸。
814,今有白禾二步，青禾三步，黄禾四步，黑禾五步，实各不满斗。白取青、黄，青取黄、黑，黄取黑、白，黑取白、青，各一步，而实满斗。问白、青、黄、黑禾实一步各几何？,白禾一步实一百一十一分斗之三十三。青禾一步实一百一十一分斗之二十八。黄禾一步实一百一十一分斗之一十七。黑禾一步实一百一十一分斗之一十。,白禾一步实一百一十分斗之三十三。青禾一步实一百一十分斗之二十三。黄禾一步实一百一十分斗之一十七。黑禾一步实一百一十分斗之一十七。
815,今有甲禾二秉，乙禾三秉，丙禾四秉，重皆过于石。甲二重如乙一，乙三重如丙一，丙四重如甲一。问甲、乙、丙禾一秉各重几何？,甲禾一秉重二十三分石之一十七。乙禾一秉重二十三分石之一十一。丙禾一秉重二十三分石之一十。,甲禾一秉重二十分石之一十七。乙禾一秉重二十分石之一十一。丙禾一秉重二十三分石之一十。
816,今有令一人，吏五人，从者一十人，食鸡一十；令一十人，吏一人，从者五人，食鸡八；令五人，吏一十人，从者一人，食鸡六。问令、吏、从者食鸡各几何？,令一人食一百二十二分鸡之四十五。吏一人食一百二十二分鸡之四十一。从者一人食一百二十二分鸡之九十七。,令一人食一百二十分鸡之四十三。吏一人食一百二十分鸡之四十一。从者一人食一百二十分鸡之九十七。
817,今有五羊，四犬，三鸡，二兔，直钱一千四百九十六；四羊，二犬，六鸡，三兔，直钱一千一百七十五；三羊，一犬，七鸡，五兔，直钱九百五十八；二羊，三犬，五鸡，一兔，直钱八百六十一。问羊、犬、鸡、兔价各几何？,羊价一百七十七。犬价一百二十一。鸡价二十三。兔价二十九。,羊价一百八十。犬价一百二十。鸡价二十一。兔价二十四。
818,今有麻九斗，麦七斗，菽三斗，答二斗，黍五斗，直钱一百四十；麻七斗，麦六斗，菽四斗，答五斗，黍三斗，直钱一百二十八；麻三斗，麦五斗，菽七斗，答六斗，黍四斗，直钱一百一十六；麻二斗，麦五斗，菽三斗，答九斗，黍四斗，直钱一百一十二；麻一斗，麦三斗，菽二斗，答八斗，黍五斗，直钱九十五。问一斗直几何？,麻一斗七钱。麦一斗四钱。菽一斗三钱。答一斗五钱。黍一斗六钱。,麻一斗三钱。麦一斗四钱。菽一斗三钱。答一斗七钱。黍一斗九钱。
901,今有句三尺，股四尺，问为弦几何？,五尺,三尺
902,今有弦五尺，句三尺，问为股几何？,四尺,六尺
903,今有股四尺，弦五尺，问为句几何？,三尺,一尺半
904,今有圆材，径二尺五寸。欲为方版，令厚七寸，问广几何？,二尺四寸,二尺九寸
905,今有木长二丈，围之三尺。葛生其下，缠木七周，上与木齐。问葛长几何？,二丈九尺,二丈一尺
906,今有池方一丈，葭生其中央，出水一尺。引葭赴岸，适与岸齐。问水深、葭长各几何？,水深一丈二尺。葭长一丈三尺。,水深一丈。葭长一丈九尺。
907,今有立木，系索其末，委地三尺。引索却行，去本八尺而索尽。问索长几何？,一丈二尺六分尺之一,一丈三尺九分尺之一
908,今有垣高一丈，倚木于垣，上与垣齐。引木却行一尺，其木至地。问木长几何？,五丈五寸,五丈二寸
909,今有圆材埋在壁中，不知大小。以锯锯之，深一寸，锯道长一尺。问径几何？,材径二尺六寸,材径三尺一寸
910,今有开门去阃一尺，不合二寸。问门广几何？,一丈一寸,一丈
911,今有户高多于广六尺八寸，两隅相去适一丈。问户高、广各几何？,广二尺八寸。高九尺六寸。,广二尺七寸。高八尺九寸。
912,今有竹高一丈，末折抵地，去本三尺。问折者高几何？,四尺二十分尺之一十一,二尺四十分尺之一十一
913,今有二人同所立，甲行率七，乙行率三。乙东行，甲南行十步而斜东北与乙会。问甲、乙行各几何？,乙东行一十步半，甲斜行一十四步半及之。,乙东行一十步，甲斜行一十四步。
914,今有句五步，股十二步。问句中容方几何？,方三步十七分步之九,方七步十三分步之七
915,今有句八步，股一十五步。问句中容圆径几何？,六步,七步
916,今有邑方二百步，各中开门。出东门一十五步有木。问出南门几何步而见木？,六百六十六步大半步,六百六十步大半步
917,有邑东西七里，南北九里，各中开门。出东门一十五里有木。问出南门几何步而见木？,三百一十五步,三百一十三步
918,今有邑方不知大小，各中开门。出北门三十步有木，出西门七百五十步见木。问邑方几何？,一里,一里半
919,今有邑方不知大小，各中开门。出北门二十步有木，出南门一十四步，折而西行一千七百七十五步见木。问邑方几何？,二百五十步,二百四十五步
920,今有邑方一十里，各中开门。甲、乙俱从邑中央而出：乙东出；甲南出，出门不知步数，邪向东北，磨邑隅，适与乙会。率：甲行五，乙行三。问甲、乙行各几何？,甲出南门八百步，邪东北行四千八百八十七步半，及乙。乙东行四千三百一十二步半。,甲出南门七百五十步，邪东北行四千八百步半，及乙。乙东行四千三百一十二步半。
921,今有木去人不知远近。立四表，相去各一丈，令左两表与所望参相直。从后右表望之，入前右表三寸。问木去人几何？,三十三丈三尺三寸少半寸,三十三丈三尺三寸太半寸
922,今有山居木西，不知其高。山去木五十三里，木高九丈五尺。人立木东三里，望木末适与山峰斜平。人目高七尺。问山高几何？,一百六十四丈九尺六寸太半寸,一百六十四丈九尺六寸少半寸
923,今有井，径五尺，不知其深。立五尺木于井上，从木末望水岸，入径四寸。问井深几何？,五丈七尺五寸,五丈五尺七寸
924,今有户不知高、广，竿不知长短。横之不出四尺，从之不出二尺，邪之适出。问户高、广、邪各几何？,广六尺。高八尺。邪一丈。,广八尺。高六尺。邪一丈半。